Reference:  202 apertures in PRDOPSSOC-M-026
Comparison: 202 apertures in new pre-delivery

Number of modified apertures 202. Significant modifications are listed below.
Differences are reported for any text change
and fractional differences greater than 1e-06

Aperture                        Attribute             Reference            Comparison      Difference    Percent
NRCA5_MASK430R                 Sci2IdlY10 -7.867861255355816e-05 -7.832261094021134e-05        0.000000     0.4525
NRCA5_MASK430R                 Sci2IdlY11   0.06263969395431965   0.06263999922230329        0.000000     0.0005
NRCA5_MASK430R                 Sci2IdlY20 3.676981854594618e-07 3.677388081591876e-07        0.000000     0.0110
NRCA5_MASK430R                 Sci2IdlY21 2.125207594861486e-07 2.130254978472518e-07        0.000000     0.2369
NRCA5_MASK430R                 Sci2IdlY22 -2.267427451379998e-07 -2.26586800656916e-07        0.000000     0.0688
NRCA5_MASK430R                 Sci2IdlY30 -8.554736300489881e-13 -8.089080696068435e-13        0.000000     5.4432
NRCA5_MASK430R                 Sci2IdlY31 9.893145710293453e-11 9.895601466332164e-11        0.000000     0.0248
NRCA5_MASK430R                 Sci2IdlY32 -5.244710680890518e-12 -5.153567194700229e-12        0.000000     1.7378
NRCA5_MASK430R                 Sci2IdlY33 1.108450687048578e-10 1.108729737973612e-10        0.000000     0.0252
NRCA5_MASK430R                 Sci2IdlY40 4.851346684433427e-15 4.855063009532937e-15        0.000000     0.0765
NRCA5_MASK430R                 Sci2IdlY41 7.802362212346515e-16 8.333304755771965e-16        0.000000     6.3713
NRCA5_MASK430R                 Sci2IdlY42 1.833977050252961e-14  1.83587617310045e-14        0.000000     0.1034
NRCA5_MASK430R                 Sci2IdlY43 1.311752200101063e-15 1.361177670952876e-15        0.000000     3.6311
NRCA5_MASK430R                 Sci2IdlY44 1.225968677629336e-14 1.227194134728961e-14        0.000000     0.0999
NRCA5_MASK430R                 Sci2IdlY50 8.584340006012005e-20 8.572341406741315e-20        0.000000     0.1398
NRCA5_MASK430R                 Sci2IdlY51 5.274773536529983e-18 5.274760893819923e-18        0.000000     0.0002
NRCA5_MASK430R                 Sci2IdlY52 5.841894615242516e-19 5.839464790590314e-19        0.000000     0.0416
NRCA5_MASK430R                 Sci2IdlY53 9.736181795472394e-18  9.73616830676707e-18        0.000000     0.0001
NRCA5_MASK430R                 Sci2IdlY54 4.870233197401074e-19 4.869030656283196e-19        0.000000     0.0247
NRCA5_MASK430R                 Idl2SciX00 0.0005885880474458816 0.0007149476108523345        0.000126    17.6740
NRCA5_MASK430R                 Idl2SciX10     16.04293626232912     16.04288144747807        0.000055     0.0003
NRCA5_MASK430R                 Idl2SciX11 5.783837773209967e-05 5.790124509878931e-05        0.000000     0.1086
